dataset_name,dataset_source,schema_name,schema_path,workload_name,score_stage,query_id,query_type,query_stratum,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,center_x,center_y,center_z,radius,k,latency_ms,visited_nodes,tested_points,returned_points,fully_contained_nodes,visited_by_depth,visited_by_structure,tested_points_by_structure,fully_contained_by_structure,backend,query_seed
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,720,knn,knn,,,,,,,1196.564941,1496.573975,436.036988,0.000000,16,0.005900,37,646,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:5;7:5;8:6,QuadTree:37,QuadTree:646,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,721,knn,knn,,,,,,,2505.536926,755.364014,509.293002,0.000000,16,0.004500,32,176,16,0,0:1;1:3;2:3;3:5;4:3;5:4;6:5;7:4;8:4,QuadTree:32,QuadTree:176,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,722,knn,knn,,,,,,,2254.393127,1193.879883,503.558017,0.000000,16,0.004400,31,167,16,0,0:1;1:3;2:3;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:31,QuadTree:167,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,723,knn,knn,,,,,,,1387.471924,1099.654053,441.777007,0.000000,16,0.005000,33,132,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:132,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,724,knn,knn,,,,,,,2471.114075,153.289062,479.696994,0.000000,16,0.005200,33,440,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:440,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,725,knn,knn,,,,,,,2485.124084,233.352051,470.635985,0.000000,16,0.004500,33,150,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:150,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,726,knn,knn,,,,,,,1426.384033,1472.183105,441.394988,0.000000,16,0.004900,33,164,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:164,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,727,knn,knn,,,,,,,2120.144104,265.114014,472.855010,0.000000,16,0.004700,28,338,16,0,0:1;1:3;2:1;3:3;4:4;5:4;6:4;7:4;8:4,QuadTree:28,QuadTree:338,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,728,knn,knn,,,,,,,1466.546021,1088.102051,443.886992,0.000000,16,0.004900,33,331,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:331,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,729,knn,knn,,,,,,,1886.570923,460.728027,477.022006,0.000000,16,0.004900,34,360,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:5,QuadTree:34,QuadTree:360,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,730,knn,knn,,,,,,,2764.895081,-317.728027,471.210998,0.000000,16,0.004400,33,179,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:179,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,731,knn,knn,,,,,,,1762.448975,1298.967041,455.403991,0.000000,16,0.004900,33,249,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:249,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,732,knn,knn,,,,,,,2199.519104,174.691040,459.623992,0.000000,16,0.004900,33,205,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:205,,cpu,1337
5M,D:\Datasets\Point Clouds\SanAndreas\5M.las,quadtree_default,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\sanandreas_5m_ga\5M_pipeline_replay_best_schema.json,pipeline_replay,final,733,knn,knn,,,,,,,2564.524963,-372.883972,420.619995,0.000000,16,0.005200,32,331,16,0,0:1;1:3;2:5;3:2;4:5;5:4;6:4;7:4;8:4,QuadTree:32,QuadTree:331,,cpu,1337
