dataset_name,dataset_source,schema_name,schema_path,workload_name,score_stage,query_id,query_type,query_stratum,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,center_x,center_y,center_z,radius,k,latency_ms,visited_nodes,tested_points,returned_points,fully_contained_nodes,visited_by_depth,visited_by_structure,tested_points_by_structure,fully_contained_by_structure,backend,query_seed
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,539,knn,knn,,,,,,,2383.181885,537.708008,479.463989,0.000000,16,0.004700,32,170,16,0,0:1;1:3;2:3;3:5;4:4;5:4;6:4;7:4;8:4,QuadTree:32,QuadTree:170,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,540,knn,knn,,,,,,,3026.715088,137.631012,534.640991,0.000000,16,0.004400,33,170,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:170,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,541,knn,knn,,,,,,,2098.508057,1560.493042,480.191986,0.000000,16,0.004600,33,378,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:378,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,542,knn,knn,,,,,,,2442.746094,989.617004,494.770996,0.000000,16,0.005300,33,362,16,0,0:1;1:3;2:3;3:5;4:4;5:4;6:4;7:4;8:5,QuadTree:33,QuadTree:362,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,543,knn,knn,,,,,,,1859.567017,258.261017,443.065002,0.000000,16,0.005600,28,551,16,0,0:1;1:3;2:1;3:3;4:4;5:4;6:4;7:4;8:4,QuadTree:28,QuadTree:551,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,544,knn,knn,,,,,,,2275.258057,279.453003,466.140015,0.000000,16,0.004500,33,238,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:238,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,545,knn,knn,,,,,,,1679.897949,1540.128052,451.018005,0.000000,16,0.004200,34,137,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:5;8:4,QuadTree:34,QuadTree:137,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,546,knn,knn,,,,,,,2324.363037,652.684021,477.390991,0.000000,16,0.004700,32,306,16,0,0:1;1:3;2:3;3:5;4:4;5:4;6:4;7:4;8:4,QuadTree:32,QuadTree:306,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,547,knn,knn,,,,,,,1893.944946,1474.482056,460.355988,0.000000,16,0.004700,33,401,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:401,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,548,knn,knn,,,,,,,2490.478027,470.567017,464.626007,0.000000,16,0.005400,32,426,16,0,0:1;1:3;2:3;3:5;4:4;5:4;6:4;7:4;8:4,QuadTree:32,QuadTree:426,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,549,knn,knn,,,,,,,1600.898926,1276.110962,447.765991,0.000000,16,0.004300,33,118,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:118,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,550,knn,knn,,,,,,,3057.659912,-323.416992,515.328003,0.000000,16,0.005600,41,464,16,0,0:1;1:3;2:5;3:3;4:6;5:6;6:6;7:6;8:5,QuadTree:41,QuadTree:464,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,551,knn,knn,,,,,,,2796.877930,-265.753998,463.588013,0.000000,16,0.005200,35,466,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:5;8:5,QuadTree:35,QuadTree:466,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,552,knn,knn,,,,,,,2501.153076,855.184021,499.481995,0.000000,16,0.005700,34,318,16,0,0:1;1:3;2:3;3:5;4:3;5:4;6:5;7:5;8:5,QuadTree:34,QuadTree:318,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,553,knn,knn,,,,,,,3113.480957,-464.287994,480.343994,0.000000,16,0.005400,34,609,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:5,QuadTree:34,QuadTree:609,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,554,knn,knn,,,,,,,2770.726074,-516.368958,434.020996,0.000000,16,0.004800,33,355,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:355,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,555,knn,knn,,,,,,,1872.221924,1412.044067,458.812988,0.000000,16,0.004500,33,154,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:154,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,556,knn,knn,,,,,,,2603.009033,31.715015,477.959015,0.000000,16,0.009800,36,839,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:5;8:6,QuadTree:36,QuadTree:839,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,557,knn,knn,,,,,,,1682.119995,472.922028,448.798004,0.000000,16,0.005200,36,570,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:5;8:6,QuadTree:36,QuadTree:570,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,558,knn,knn,,,,,,,2854.937012,-252.412979,477.380005,0.000000,16,0.116100,35,854,16,0,0:1;1:3;2:5;3:3;4:5;5:4;6:4;7:4;8:6,QuadTree:35,QuadTree:854,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,559,knn,knn,,,,,,,1953.334961,488.653015,487.903015,0.000000,16,0.006300,33,192,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:33,QuadTree:192,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,560,knn,knn,,,,,,,2567.139893,-289.985992,425.585999,0.000000,16,0.006000,32,300,16,0,0:1;1:3;2:5;3:2;4:5;5:4;6:4;7:4;8:4,QuadTree:32,QuadTree:300,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,561,knn,knn,,,,,,,2187.431885,1094.558960,496.596008,0.000000,16,0.005300,31,182,16,0,0:1;1:3;2:3;3:4;4:4;5:4;6:4;7:4;8:4,QuadTree:31,QuadTree:182,,cpu,1337
5M_binary,results/traces/sanandreas_5m/5M_binary.ply,quadtree_default,C:\Github\MultiDataStructure\configs\schemas\quadtree.json,pipeline_replay,final,562,knn,knn,,,,,,,2129.312012,920.531006,467.428009,0.000000,16,0.019500,34,186,16,0,0:1;1:3;2:5;3:4;4:4;5:4;6:4;7:5;8:4,QuadTree:34,QuadTree:186,,cpu,1337
