dataset_name,dataset_source,schema_name,schema_path,workload_name,score_stage,query_id,query_type,query_stratum,bounds_min_x,bounds_min_y,bounds_min_z,bounds_max_x,bounds_max_y,bounds_max_z,center_x,center_y,center_z,radius,k,latency_ms,visited_nodes,tested_points,returned_points,fully_contained_nodes,visited_by_depth,visited_by_structure,tested_points_by_structure,fully_contained_by_structure,backend,query_seed
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1250,radius,radius,,,,,,,1.665828,-1.303233,6.690000,0.074587,0,0.029500,114,12472,2918,0,0:1;1:2;2:1;3:3;5:2;6:2;7:2;8:13;9:12;10:18;11:28;12:30,BVH:11;Octree:103,Octree:12472,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1251,radius,radius,,,,,,,1.562828,-0.612233,6.680000,0.074587,0,0.018400,106,6379,1445,0,0:1;1:2;2:1;3:3;5:2;6:2;7:2;8:13;9:12;10:18;11:21;12:29,BVH:11;Octree:95,Octree:6379,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1252,radius,radius,,,,,,,13.126828,-0.443233,-0.844000,0.074587,0,0.012300,75,4633,1224,0,0:1;1:2;2:2;3:2;4:2;5:2;6:2;7:1;8:7;9:9;10:8;11:23;12:14,BVH:13;Octree:62,Octree:4633,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1253,radius,radius,,,,,,,13.128828,-1.164233,-0.846000,0.074587,0,0.019100,119,7514,1311,0,0:1;1:2;2:2;3:2;4:2;5:2;6:2;7:1;8:7;9:9;10:8;11:28;12:53,BVH:13;Octree:106,Octree:7514,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1254,radius,radius,,,,,,,-6.181172,-0.712233,1.912000,0.074587,0,0.013300,72,4326,1204,0,0:1;1:2;2:1;3:1;4:2;5:2;6:2;7:2;8:8;9:15;10:14;11:7;12:15,BVH:11;Octree:61,Octree:4326,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1255,radius,radius,,,,,,,-6.003172,-0.908233,1.799000,0.074587,0,0.019800,174,5515,1720,0,0:1;1:2;2:1;3:3;4:4;5:4;6:4;7:4;8:23;9:26;10:30;11:38;12:34,BVH:19;Octree:155,Octree:5515,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1256,radius,radius,,,,,,,-2.969172,-0.585233,2.236000,0.074587,0,0.017400,77,6745,1764,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:8;9:4;10:16;11:10;12:24,BVH:13;Octree:64,Octree:6745,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1257,radius,radius,,,,,,,-3.204172,-0.911233,2.929000,0.074587,0,0.021800,102,6995,1868,0,0:1;1:2;2:1;3:3;4:2;5:2;6:2;7:2;8:8;9:4;10:8;11:25;12:42,BVH:13;Octree:89,Octree:6995,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1258,radius,radius,,,,,,,14.196828,-0.564233,2.634000,0.074587,0,0.014500,70,5071,1299,0,0:1;1:2;2:2;3:1;4:1;5:1;6:1;7:4;8:7;9:4;10:4;11:7;12:35,BVH:9;Octree:61,Octree:5071,,cpu,1337
Alhambra_100M_binary,D:/Datasets/Point Clouds/Alhambra/Alhambra_100M_binary.ply,generated_bvh7l128_ot5l1024,C:\Github\MultiDataStructure\results\eval_traces\v2\best_schemas\alhambra_100m_ga\Alhambra_100M_pipeline_replay_best_schema.json,pipeline_replay,final,1259,radius,radius,,,,,,,-6.636172,-0.467233,-2.950000,0.074587,0,0.025000,109,7503,2135,0,0:1;1:2;2:1;3:1;4:2;5:2;6:2;7:2;8:14;9:8;10:24;11:24;12:26,BVH:11;Octree:98,Octree:7503,,cpu,1337
